"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,       -2.82181759,     -0.9466002197,     -0.2858390826,         2.6645554,      -4905.791381,       25832.04725,                 0
          1,           0,           0,      -2.749594335,      -1.161121866,     -0.2337053285,       2.744830139,      -3121.779769,       16460.59949,                 0
          2,           0,           0,      -2.991012557,      -1.128024384,     -0.5960480224,       2.497192717,      -2589.520176,        13658.3753,                 0
          3,           0,           0,      -3.271037801,      -1.214228923,     -0.9282811046,        2.20540015,      -2501.716979,       13192.52334,                 0
          4,           0,           0,      -3.673841335,       -1.31177614,      -1.083264883,       1.798030822,      -2527.672213,       13327.05627,                 0
          5,           0,           0,      -3.833348813,      -1.385481031,      -1.407237036,       1.652602162,      -2547.645747,       13433.63279,                 0
          6,           0,           0,      -3.872219961,      -1.451150233,      -1.363459226,       1.607814925,      -2548.710503,       13446.73566,                 0
          7,           0,           0,      -3.878429833,      -1.507945396,      -1.345030453,       1.599684025,      -2541.375977,       13421.28599,                 0
          8,           0,           0,      -4.012361437,      -1.566139526,       -1.47611632,       1.468421598,      -2531.065792,       13382.60465,                 0
          9,           0,           0,      -4.235147173,      -1.619613236,      -1.756898085,       1.253672745,      -2519.061422,       13333.78383,                 0
         10,           0,           0,      -4.298413798,      -1.660172248,        -1.8547333,       1.189715278,      -2506.265697,       13277.44219,                 0
         11,           0,           0,      -4.272496084,      -1.692182427,       -1.78944918,       1.206302587,       -2493.51897,       13218.16351,                 0
         12,           0,           0,      -4.331995706,      -1.721568654,      -1.862310981,       1.135743952,      -2481.114306,       13159.36979,                 0
         13,           0,           0,      -4.437986978,      -1.748680232,      -2.041519504,       1.010839671,      -2468.931259,       13102.74748,                 0
         14,           0,           0,      -4.503722561,      -1.773895692,      -2.160346917,      0.9292548082,      -2456.776603,       13048.92829,                 0
         15,           0,           0,      -4.536735246,      -1.799002421,      -2.171542437,      0.8924905818,       -2444.55543,       12997.90288,                 0
         16,           0,           0,      -4.586398967,      -1.823871305,      -2.232181125,      0.8377431014,      -2432.286426,       12949.24751,                 0
         17,           0,           0,      -4.642267609,      -1.846582807,      -2.338043233,      0.7725910834,      -2420.055667,       12902.40163,                 0
         18,           0,           0,      -4.679746124,      -1.866276989,      -2.401321821,      0.7253484643,       -2407.96048,       12856.94472,                 0
         19,           0,           0,      -4.705770418,      -1.883840204,      -2.426029255,      0.6864294183,      -2396.070081,        12812.7649,                 0
         20,           0,           0,      -4.731005102,      -1.900368611,      -2.471040751,      0.6420766311,      -2384.413644,       12770.07536,                 0
         21,           0,           0,      -4.751949563,       -1.91628793,      -2.530679985,      0.6008456724,      -2372.989923,       12729.30034,                 0
         22,           0,           0,      -4.769064233,      -1.931667041,      -2.582172316,      0.5667702865,      -2361.784157,       12690.89931,                 0
         23,           0,           0,      -4.789807198,      -1.946564189,      -2.639193113,      0.5281323278,      -2350.781005,       12655.20935,                 0
         24,           0,           0,      -4.815461445,       -1.96098885,      -2.720413645,      0.4801148494,      -2339.969763,       12622.36316,                 0
         25,           0,           0,      -4.839100365,      -1.974836554,      -2.804124215,      0.4347535903,      -2329.343793,        12592.2959,                 0
         26,           0,           0,      -4.855360817,      -1.987990316,      -2.842890429,      0.4044209093,      -2318.898056,       12564.81768,                 0
         27,           0,           0,      -4.866257629,      -2.000443646,      -2.845393976,      0.3844375555,      -2308.627567,       12539.70988,                 0
         28,           0,           0,      -4.876323774,      -2.012306677,      -2.854627809,      0.3631159343,       -2298.52747,       12516.80542,                 0
         29,           0,           0,      -4.887311397,      -2.023719858,      -2.883385103,      0.3366814219,      -2288.593832,       12496.02839,                 0
         30,           0,           0,      -4.898448846,      -2.034771548,      -2.920687704,      0.3089897276,      -2278.824121,       12477.38919,                 0
         31,           0,           0,      -4.908743573,      -2.045479934,      -2.950387937,      0.2846695331,      -2269.216761,       12460.94915,                 0
         32,           0,           0,      -4.918013375,      -2.055830741,      -2.965125319,      0.2647410701,      -2259.770067,       12446.77495,                 0
         33,           0,           0,      -4.926542331,      -2.065821284,      -2.969569039,      0.2473802719,      -2250.481155,       12434.90307,                 0
         34,           0,           0,       -4.93456986,      -2.075474172,      -2.972409939,      0.2306689393,      -2241.345464,       12425.32368,                 0
         35,           0,           0,      -4.942218865,      -2.084823162,      -2.979549475,       0.213739048,      -2232.357103,       12417.98423,                 0
         36,           0,           0,      -4.949629221,      -2.093896833,      -2.992794886,      0.1963581933,      -2223.509723,         12412.806,                 0
         37,           0,           0,      -4.956953823,      -2.102714821,       -3.01078012,      0.1785066318,      -2214.797508,       12409.70453,                 0
         38,           0,           0,      -4.964225385,      -2.111291726,      -3.030252712,       0.160494226,      -2206.215805,       12408.60566,                 0
         39,           0,           0,      -4.971309696,      -2.119639648,      -3.047792869,      0.1430404492,      -2197.761231,       12409.45306,                 0
         40,           0,           0,      -4.978035798,      -2.127767878,      -3.061888976,       0.126799106,      -2189.431305,        12412.2068,                 0
         41,           0,           0,       -4.98435621,      -2.135683474,      -3.073799801,      0.1117527026,      -2181.223877,       12416.83628,                 0
         42,           0,           0,      -4.990363163,      -2.143394049,      -3.086064828,     0.09726290486,      -2173.136603,       12423.31128,                 0
         43,           0,           0,       -4.99617223,       -2.15091017,      -3.100090388,     0.08276786911,      -2165.166672,       12431.59493,                 0
         44,           0,           0,      -5.001823346,      -2.158245035,      -3.115022984,     0.06832841051,      -2157.310809,       12441.64026,                 0
         45,           0,           0,      -5.007290961,      -2.165412025,      -3.128616337,     0.05448233235,      -2149.565466,       12453.39059,                 0
         46,           0,           0,      -5.012556537,      -2.172422369,      -3.139198294,     0.04165975662,      -2141.927141,        12466.7827,                 0
         47,           0,           0,      -5.017649914,       -2.17928428,      -3.146963028,     0.02979354826,      -2134.392613,       12481.75078,                 0
         48,           0,           0,      -5.022628068,      -2.186003364,      -3.153498126,     0.01844128301,      -2126.959049,       12498.22984,                 0
         49,           0,           0,      -5.027531014,      -2.192583559,      -3.160358522,    0.007175724056,      -2119.623981,       12516.15747,                 0
         50,           0,           0,      -5.032362104,      -2.199028154,      -3.168138487,   -0.004158591671,      -2112.385192,       12535.47412,                 0
         51,           0,           0,      -5.037101607,      -2.205340785,      -3.176513162,    -0.01546533939,      -2105.240573,       12556.12202,                 0
         52,           0,           0,      -5.041732236,      -2.211526115,       -3.18485121,    -0.02657307399,      -2098.188013,       12578.04376,                 0
         53,           0,           0,      -5.046255052,      -2.217589934,      -3.192832225,    -0.03739718937,      -2091.225342,       12601.18109,                 0
         54,           0,           0,      -5.050689332,      -2.223538598,      -3.200692653,     -0.0479984877,      -2084.350341,       12625.47431,                 0
         55,           0,           0,      -5.055061462,      -2.229378188,      -3.209038531,    -0.05853842587,      -2077.560786,       12650.86247,                 0
         56,           0,           0,      -5.059391073,      -2.235113849,      -3.218435597,    -0.06917738951,      -2070.854512,       12677.28412,                 0
         57,           0,           0,      -5.063681647,      -2.240749589,      -3.229062274,    -0.07997718532,      -2064.229461,       12704.67827,                 0
         58,           0,           0,      -5.067919997,      -2.246288472,      -3.240605747,    -0.09086183024,      -2057.683704,       12732.98525,                 0
         59,           0,           0,       -5.07208437,       -2.25173301,      -3.252421974,     -0.1016571237,       -2051.21544,       12762.14726,                 0
         60,           0,           0,      -5.076155974,      -2.257085538,      -3.263849682,     -0.1121815455,      -2044.822964,       12792.10862,                 0
         61,           0,           0,      -5.080127212,      -2.262348473,      -3.274496293,     -0.1223301084,      -2038.504641,        12822.8157,                 0
         62,           0,           0,      -5.084002703,       -2.26752442,      -3.284338529,     -0.1321022123,      -2032.258877,        12854.2167,                 0
         63,           0,           0,       -5.08779431,      -2.272616156,      -3.293615925,     -0.1415690799,      -2026.084106,       12886.26147,                 0
         64,           0,           0,       -5.09151462,      -2.277626542,      -3.302636188,     -0.1508172013,      -2019.978785,       12918.90139,                 0
         65,           0,           0,      -5.095172874,      -2.282558405,       -3.31163556,     -0.1599093809,      -2013.941404,       12952.08938,                 0
         66,           0,           0,      -5.098774478,      -2.287414463,      -3.320753161,      -0.168879881,      -2007.970499,       12985.77999,                 0
         67,           0,           0,      -5.102322728,      -2.292197285,      -3.330082324,     -0.1777519776,      -2002.064658,       13019.92956,                 0
         68,           0,           0,      -5.105820574,      -2.296909279,      -3.339723174,     -0.1865550803,      -1996.222527,       13054.49634,                 0
